tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.41E+18,03/07/2021 12:15,,en,6,TweetDeck,https://about.twitter.com/products/tweetdeck,"RT @ManuelaMravlak: This photo touches me very much, because Shaggy looks really relaxed and happy there. It was good for both of us to cud…",19/07/2019 11:15,günni,2012,no challenges,,#Caturday,15:17.7,Canada,-35.0667,138.85
1.41E+18,03/07/2021 12:15,Caturday,en,47,Twitter Web App,https://mobile.twitter.com,"RT @PenelopeRuzy: #Caturday Love 😽🐾❤️
Good Morning Everyone ! 
Have a nice/safe Weekend ! https://t.co/g4ASkR99L1",05/07/2020 13:29,白身フライ,11,猫の下僕として生まれました,,#Caturday,15:17.7,Canada,-38.2333,146.4
1.41E+18,03/07/2021 12:15,Caturday,en,3,Twitter for Android,http://twitter.com/download/android,"RT @MontyTom2012: Baby Maggie! 🥰❤️❤️❤️

Who knew something this teeny would have such a huge attitude 🤔

#Caturday https://t.co/gqypU097Il",18/08/2020 21:19,Bonnie Cassler,98,"born near Philly,grew up in Orlando,living in Pensacola,Fla.",,#Caturday,15:17.7,Canada,-34.1889,142.1583
1.41E+18,03/07/2021 12:15,Caturday,en,0,TweetDeck,https://about.twitter.com/products/tweetdeck,"Happy #Caturday all🐱

Who wishes they were as relaxed as this cat is right now🙋‍♀️

📸 our_petite_bungalow featuring… https://t.co/KZ2hEBLcLn",07/05/2015 12:15,Hudson Reed UK,1414,Style. Quality. Luxury. Innovation.  With Hudson Reed you can have it all.  This is the complete bathroom collection.,"Halifax, England",#Caturday,15:17.7,Canada,-27.4678,153.0281
1.41E+18,03/07/2021 12:14,Caturday,ja,24,Twitter Web App,https://mobile.twitter.com,"RT @LeoTheWildcat: ドアストッパーのふりしてるぜ。
Happy #Caturday y’all! https://t.co/7EQbAzEQn9",29/02/2020 12:08,Eringisetas,23,美味しいものと猫が大好きな高齢者,東京都,#Caturday,15:17.7,Canada,-38.2333,146.4
1.41E+18,03/07/2021 12:14,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,@merryme300 @ValinVigo @bop_tc @CatNikitas @BaggaleyLiz @BarkleytheTzu Awww 🥰 that’s lovely! Thank you so much ❤️🐾w… https://t.co/l2XiEQbxAq,25/10/2018 17:55,Sox and Daisy 💙,16515,"Hi furends! we are tabby cat sisters (Sox has white paws!) Love eating, sleeping and catching the odd mouse....😻😺*NO Politics* #TabbyTroop #hedgewatch",Yorkshire and The Humber,#Caturday,15:17.7,Canada,-37.5811,144.7139
1.41E+18,03/07/2021 12:14,"CatsOfTwitter, CatsOfTwitter, catmeme",en,1,Twitter for Android,http://twitter.com/download/android,"RT @CrankyGeoffrey: It’s Caturday Night Fever.. not Covid, I had a test and it was all clear.. 
#CatsOfTwitter #CatsOfTwitter 
#catmeme #sa…",18/08/2020 21:19,Bonnie Cassler,98,"born near Philly,grew up in Orlando,living in Pensacola,Fla.",,#Caturday,15:17.7,Canada,-33.8183,148.6578
1.41E+18,03/07/2021 12:14,amputeelife,en,0,Twitter for Android,http://twitter.com/download/android,Gotta pay that cat tax... getting very bored of being bedbound but at least I have good company #amputeelife… https://t.co/gYYYVsm89I,31/10/2020 13:34,the_real_iron_hand,1102,"Trans-humeral dominant arm amputee trying to learn to paint with the wrong hand, a prosthetic arm, and lots of swearing. https://t.co/A8XX09eFdx","Scotland, United Kingdom",#Caturday,15:17.7,Canada,-34.0733,150.8261
1.41E+18,03/07/2021 12:14,Caturday,en,4,Twitter Web App,https://mobile.twitter.com,RT @moothemousecat: #Caturday frolics https://t.co/53jVY1xWfW,19/04/2009 23:16,Maure Briggs,105,"Artist, activist, Communist, RadFem, atheist, Mom, Grandmother & Great-Grandmother","Vernon, CT",#Caturday,15:17.7,Canada,-23.8427,151.2555
1.41E+18,03/07/2021 12:14,"Caturday, CatsOfTwitter",en,3,Twitter for iPhone,http://twitter.com/download/iphone,RT @RubyTuesday_Ldn: Have an awesome #Caturday #CatsOfTwitter!! https://t.co/YlKBHXITE7,12/12/2019 20:00,Pi and Neko,3048,"We are Pi Majoo and Neko Hernandez of the Majoo Crew. Both Bengals, Pi is Marbled and diabetic and Neko is spotted/rosetted #TeamBengal #theruffriderz","Fort Westfield, Bengalia",#Caturday,15:17.7,Canada,-26.6269,152.9591
1.41E+18,03/07/2021 12:14,"Caturday, Cats, AdoptDontShop, weekendvibes",en,5,Twitter for iPhone,http://twitter.com/download/iphone,"RT @vankapro: #Caturday 
#Cats are both.....😍❣
Majestic AND speedy......😍❣👍
#AdoptDontShop 
#weekendvibes

VankaPro☀️🌊🌊🌊",13/11/2015 17:37,KarenK,399,"Pain is my constant companion and not a friend. D/C d v hi LTOT per self few yrs ago. Curiosity, hope  and MMJ helps to keep me here, for now.","GETVAXXED, please.",#Caturday,15:17.7,Canada,-38.1958,146.5403
1.41E+18,03/07/2021 12:14,Caturday,en,3,Twitter Web App,https://mobile.twitter.com,"RT @LeahRebeccaUK: It's not Saturday.
No it's not. It is, however, #Caturday
The most purrfect day of the week.
Drive with a snarl and let…",03/06/2017 01:17,Mark Haydock,3859,Former driving school owner and printing industry charlatan. Supplier of generally useless motoring trivia. Takes the occasional photograph.,"West Bridgford, England",#Caturday,15:17.7,Canada,-30.5,151.65
1.41E+18,03/07/2021 12:14,"UKGiftAM, Caturday",en,7,Twitter Web App,https://mobile.twitter.com,"RT @samylovesbags: Add colour to your day with this fab, handmade multicoloured cats print zipped pouch xx #UKGiftAM  #Caturday  #SaturdayM…",04/06/2011 03:25,Lila McRainey,10122,"Artist, #vintage #jewelry #supply #supplies #handmade ... mom of 3 boys/gramma of 2 girls. Cat freak. Top seller Ebay #lizonesjewelry https://t.co/0Da3FBuaHJ","Willoughby, Ohio",#Caturday,15:17.7,Canada,-34.5667,146.4
1.41E+18,03/07/2021 12:14,,en,11,Twitter for iPhone,http://twitter.com/download/iphone,"RT @GailMyerscough: A year ago today Pete came to live with us. 
He’d ended up at a cat rescue because his previous owners said he was a “s…",13/05/2010 14:43,gromit@weirder.earth,1058,"I send no compliments to your mother. You deserve no such attention. I am most seriously displeased. Living the Shock Doctrine. He, Him, They.",,#Caturday,15:17.7,Canada,-32.9167,151.75
1.41E+18,03/07/2021 12:14,Caturday,en,1251,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Number10cat: Happy #Caturday
https://t.co/QMQF9j3Yn5",02/07/2017 07:07,Sarah Hooton,89,"Proud mum and wife.Passionate about happiness,health & well-being. Enjoys reading and nature walks. #deliciouslyellapodcast #outlander #greentea #photography","Nottingham, UK",#Caturday,15:17.7,Canada,-35.0667,138.85
1.41E+18,03/07/2021 12:14,"NissanGTR, FordRaptor, Letsplay",en,9,wwwanpaus-twitter-bot,http://wwwanpaus-dm-twitter-bot.herokuapp.com/,RT @gamedropspops: Gran Turismo Sport #NissanGTR GT-R Cup &amp; #FordRaptor F-150 Survival Fun Run https://t.co/nCoFXNOoOl @YouTube #Letsplay #…,16/10/2014 14:21,ANPAUS | The Dinosaur Hunter | Streamer | Youtuber,16226,❤️ https://t.co/BQa5Kzwnef ❤️ https://t.co/0rUrU1BLAa ❤️❤️ luv y'all ❤️,"Los Angeles, CA",#Caturday,15:17.7,Canada,-37.981,145.215
1.41E+18,03/07/2021 12:14,Caturday,en,17,Twitter for Android,http://twitter.com/download/android,"RT @peeweeherman: Happy #Caturday! mew mew mew

[unknown source] https://t.co/EBsL3Wu02j",05/02/2013 22:34,Maui🍁,344,n devo contar mentiras,no seu coração,#Caturday,15:17.7,Canada,-34.4792,150.4181
1.41E+18,03/07/2021 12:14,Caturday,en,263,Twitter for iPhone,http://twitter.com/download/iphone,"RT @buitengebieden_: Nathan and Winnie ignore their human so they can swim together for the first time.. 

#Caturday https://t.co/6pBxVNoyX3",09/08/2012 00:22,G 3nt A,101,Defining yourself through thought is limiting yourself,,#Caturday,15:17.7,Canada,-27.9956,153.322
1.41E+18,03/07/2021 12:14,"Caturday, stormseason, disgruntledfeline, Minnie",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"It’s raining….😾 🌧 
#Caturday #stormseason #disgruntledfeline 
#Minnie 🖤🤍
Have a great weekend everybody ☀️🦩 https://t.co/t0Qsitd5Gd",17/07/2019 19:55,Gina,156,"Medical Language Specialist ☀️🏖☀️🏝☀️🌊☀️Everything will be all right in the end. If it’s not all right, it’s not the end.","Florida, USA",#Caturday,15:17.7,Canada,-25.29,152.84
1.41E+18,03/07/2021 12:14,Caturday,und,0,Twitter for iPhone,http://twitter.com/download/iphone,🐱 &amp; 🍒 #Caturday https://t.co/g9kLiRPwN0,07/04/2020 19:28,Foxwithbunny,50,,"England, United Kingdom",#Caturday,15:17.7,Canada,-38.0167,144.4167
1.41E+18,03/07/2021 12:14,"Caturday, CatsOfTwitter, SaturdayMorning",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"“Looks like you have a fleck of kale on your tooth, my dude.”
#Caturday #CatsOfTwitter #SaturdayMorning https://t.co/iQr2AuO5R5",05/05/2013 12:49,Scott Adamson,1588,"Writer, animal lover, omnivert, progressive. Author of ""The Home Team: My Bromance With Off-Brand Football"" and co-host of the ""From The 55 Yard Line"" podcast.","Birmingham, AL",#Caturday,15:17.7,Canada,-27.4678,153.0281
1.41E+18,03/07/2021 12:14,"Caturday, cats, CatsofTwitter",en,1,Twitter Web App,https://mobile.twitter.com,"RT @lena_valentin_: Daddy? Daddy, do you love me 🦁 and can I make biscuits 🐾🍪 🐾🍪🐾🍪on your belly? #Caturday #cats #CatsofTwitter https://t.c…",20/03/2013 08:50,Laurie & the DHC Pawsse,7849,2 kitties and a mini long haired Doxie run the program. Proud members of the most elite squad in the Twitterverse known as Zombie Squad #ZSHQ  #RoarForJess,"New England, USA",#Caturday,15:17.7,Canada,-38.15,145.9333
1.41E+18,03/07/2021 12:14,Down,en,3,Twitter for iPhone,http://twitter.com/download/iphone,"RT @lorraineelizab6: Beautiful Mourne Mountains, Co #Down. Mournes are made up of 12 mountains with 15 peaks &amp; include the famous Mourne wa…",05/01/2014 15:01,hanna christine,6012,,,#Caturday,15:17.7,Canada,-34.9275,138.6
1.41E+18,03/07/2021 12:14,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Some early modern cats &amp; their humans for you.
Are the sitters starting to resemble their cats, or is it the other… https://t.co/uoUbMoaNdH",03/06/2020 23:52,Emily Jane Rothwell 💙,1399,"PhD Student @Carleton_U• I love history (real & imagined), art, books, prints, maps, fairy tales, writing, laughs, food, trees, & tiny things• kind• #BLM/She•💕","Ottawa, ON (on Algonquin land)",#Caturday,15:17.7,Canada,-33.8183,148.6578
1.41E+18,03/07/2021 12:14,,en,7,Twitter Web App,https://mobile.twitter.com,"RT @Mama4Animals: °•☆°•🐱♡°•🌸🦋🌸♡°🐑•♡°•☆

🧚🏽‍♀️ your saturday caturday vibe 🧚🏼‍♀️

animals are sentient beings
🌿 please love them ♡💖♡

it's a…",14/06/2020 09:31,Michele Spina,65,🇮🇹 🇪🇺 Maybe there will be a day when the human being will make peace with himself 🐈 🐈‍⬛,Napoli,#Caturday,15:17.7,Canada,-33.3,151.2
1.41E+18,03/07/2021 12:14,Caturday,en,1,Sarahclass,https://mediainnovationdotstudio.wordpress.com/,RT @xtinewallis: Elvis is washing Pugs on #Caturday to earn pocket money. https://t.co/8QVJ7seX2i,23/01/2019 19:52,Sarah Surfar,487,A good girl from the midwest* Said no one ........Part time poet,,#Caturday,15:17.7,Canada,-29.465,149.8344
1.41E+18,03/07/2021 12:14,Caturday,en,0,Twitter for Android,http://twitter.com/download/android,I have a visitor #Caturday https://t.co/JFlcfaAV9V,20/07/2009 13:26,Caro,92,It was time to change my twitter bio,Germany,#Caturday,15:17.7,Canada,-26.6269,152.9591
1.41E+18,03/07/2021 12:14,Caturday,en,0,Twitter for Android,http://twitter.com/download/android,#Caturday Our little bundle of happiness Misty (aka Chuckles) https://t.co/G63t2l57VH,19/06/2009 09:32,Andy Millington,1146,guitar playing bloke who likes Carry On films,Manchester,#Caturday,15:17.7,Canada,-27.9956,153.322
1.41E+18,03/07/2021 12:13,Caturday,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Old boy Woody having a nice nap #Caturday https://t.co/YrJBU62OaD,22/09/2011 16:44,Tom Owen,171,"Hi there! 👋 Professional idiot and overall nice guy from South Wales. Stressed, blessed and Haribo obsessed","Wales, United Kingdom",#Caturday,15:17.7,Canada,-20.0765,146.2614
1.41E+18,03/07/2021 12:13,Caturday,en,0,Twitter for Android,http://twitter.com/download/android,Happy #Caturday. Since not one of you has a plane I'll be driving to Indiana today to celebrate with my family. Sta… https://t.co/MbxOdg0Nmk,04/02/2017 03:55,Mrs. Brightside akaMelissa,9508,"The Killers wrote a song about me. Snarkastic, with beauty and brains. DMs get the hose again. You need to add.. warning, I'm Italian, don't screw with me","Illinois, USA",#Caturday,15:17.7,Canada,-19.25,146.8167
1.41E+18,03/07/2021 12:13,Caturday,und,0,Twitter for Android,http://twitter.com/download/android,#Caturday https://t.co/bOn6raXf38,06/11/2009 14:39,Barney Greenway fanpage,519,"Funny peculiar not funny ha ha.

🤛","London, England",#Caturday,15:17.7,Canada,-12.4381,130.8411
1.41E+18,03/07/2021 12:13,Caturday,en,1,Twitter Web App,https://mobile.twitter.com,RT @boardingsoon: Apollo managed to bend a whisker but it’s all good because #Caturday. Have a great 4th weekend everyone! #ApolloChronicle…,23/04/2017 13:04,Peggy in PA,2142,"Villanova +EKU alum. who has lived in KY, IA, MO, NC, NM, and PA. Now a retired teacher who is hopeful for our country once again with Biden/Harris at the helm.","Pennsylvania, USA",#Caturday,15:17.7,Canada,-33.8183,148.6578
1.41E+18,03/07/2021 12:13,Caturday,en,0,Twitter for Android,http://twitter.com/download/android,"Happy #Caturday Sara!
Love this 😻 https://t.co/fDr5U3ZWaA",20/01/2012 19:03,D,6167,"Elephants Never Forget
RT & Likes are not Endorsements - Simply assisting to spread the word.",Canada,#Caturday,15:17.7,Canada,-29.465,149.8344
1.41E+18,03/07/2021 12:13,Caturday,en,0,Twitter for iPhone,http://twitter.com/download/iphone,views #Caturday https://t.co/6XCBZIMF9n,18/05/2021 06:46,!!,756,she/they,,#Caturday,15:17.7,Canada,-32.8342,151.3555
1.41E+18,03/07/2021 12:13,Caturday,en,47,Twitter Web App,https://mobile.twitter.com,"RT @PenelopeRuzy: #Caturday Love 😽🐾❤️
Good Morning Everyone ! 
Have a nice/safe Weekend ! https://t.co/g4ASkR99L1",26/02/2014 08:00,Boldo,3556,Ничего не хочу сказать о себе... 👀🙄🤔🧐🧐🤭🤗🐾🎷,,#Caturday,15:17.7,Canada,-27.5667,151.95
1.41E+18,03/07/2021 12:13,Caturday,en,1251,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Number10cat: Happy #Caturday
https://t.co/QMQF9j3Yn5",14/02/2020 09:10,Laura S,612,"Unconventional. Iconoclast. No justice no peace; Know justice know peace. Antifascist. Resist. Physics, baby. There is no god.","Delaware, USA",#Caturday,15:17.7,Canada,-29.6833,152.9333
1.41E+18,03/07/2021 12:13,"Hedgewatch, Caturday, CatsOfTwitter, catvideo, chasethetail",en,8,Twitter for iPad,http://twitter.com/#!/download/ipad,"RT @DuffyCatNL: Furriends, I think I'm being followed 😹🐾 🔊 🎶 #Hedgewatch chase-the-tail
#Caturday #CatsOfTwitter #catvideo #chasethetail ht…",21/03/2020 12:30,The Disco Combobulator,331,"Musician. Nihilist. Born tired & disappointed. Nature/animals, science/space, comedy 🇫🇮🇸🇪🇦🇽🇩🇪🏴 / ACAB-All Cats❤️Are Beautiful. Pacifism Rules.","Södertälje, Sverige",#Caturday,15:17.7,Canada,-29.6833,152.9333
1.41E+18,03/07/2021 12:13,"NissanGTR, FordRaptor, Letsplay",en,9,TeamSupStreamers ,http://support-streamers.com/,RT @gamedropspops: Gran Turismo Sport #NissanGTR GT-R Cup &amp; #FordRaptor F-150 Survival Fun Run https://t.co/nCoFXNOoOl @YouTube #Letsplay #…,12/02/2017 01:01,Streamer Boost,20124,"Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",Worldwide,#Caturday,15:17.7,Canada,-37.05,143.735
1.41E+18,03/07/2021 12:13,caturday,en,0,Twitter for iPhone,http://twitter.com/download/iphone,I love pillows. Happy #caturday 😽💕 https://t.co/fgpWlbyEbx,07/08/2020 15:28,Kyerra,799,4 year old kitty who lives in Massachusetts with her mommy.  #Catsdeservebetter,"Quincy, MA",#Caturday,15:17.7,Canada,-33.8183,148.6578
1.41E+18,03/07/2021 12:13,Caturday,en,1251,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Number10cat: Happy #Caturday
https://t.co/QMQF9j3Yn5",13/06/2011 13:28,littlek,139,,"England, United Kingdom",#Caturday,15:17.7,Canada,-34.29,146.04
1.41E+18,03/07/2021 12:13,Caturday,en,1,Twitter for Android,http://twitter.com/download/android,"RT @MRidgemere: Good morning friends! Happy #Caturday. Twitter hasn’t let me start following more people back yet, but I’ll keep trying. Th…",18/08/2020 21:19,Bonnie Cassler,98,"born near Philly,grew up in Orlando,living in Pensacola,Fla.",,#Caturday,15:17.7,Canada,-34.3,148.3
