tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.44E+18,02/10/2021 13:08,MUNEVE,en,120,Twitter for iPhone,http://twitter.com/download/iphone,RT @talkSPORT: Andros Townsend pulled the Cristiano Ronaldo ‘Siuuu’ after his equaliser 🤣🤣 #MUNEVE https://t.co/vTG7XaV7sL,29/08/2014 03:22,Jesus Loves You,1250,I don’t support nonsense 🙄,,#MUNEVE,06:44.8,Canada,-29.6833,152.9333
1.44E+18,02/10/2021 13:08,MUNEVE,und,0,Twitter Web App,https://mobile.twitter.com,"SIUUUUUUU @andros_townsend 

🎥: @NBCSportsSoccer #MUNEVE  
https://t.co/I48y0RtOQ6",19/01/2017 23:35,Premier League USA,197819,We're waking up early to watch 🇬🇧⚽️ with you. The perfect one-two punch with @premierleague #MyPLMorning,United States,#MUNEVE,06:44.8,Canada,-34.8808,150.6075
1.44E+18,02/10/2021 13:08,,en,126,Twitter for Android,http://twitter.com/download/android,"RT @premierleague: GOAL Man Utd 1-1 Everton (65 mins)

A flying Everton counter attack ends with Andros Townsend firing past David De Gea…",30/09/2019 13:16,AY❤️,1737,𝕯𝖔𝖓'𝖙 𝖋𝖔𝖑𝖑𝖔𝖜 𝖒𝖊 𝖈𝖆𝖚𝖘𝖊 𝕴 𝖉𝖔𝖓'𝖙 𝖐𝖓𝖔𝖜 𝖜𝖍𝖊𝖗𝖊 𝕴'𝖒 𝖌𝖔𝖎𝖓𝖌,Somewhere over the rainbow,#MUNEVE,06:44.8,Canada,-29.465,149.8344
1.44E+18,02/10/2021 13:08,MUNEVE,en,215,Twitter for iPhone,http://twitter.com/download/iphone,"RT @premierleague: Hold the pose 🕺

#MUNEVE // @andros_townsend https://t.co/GdrZ5iFUVl",29/05/2017 08:21,.🍋🍉🍌,735,Accountant & Iron addict..I love dark humor @chelseafc @Cristiano @Giannis_An34 @Pharrell “ị na-ewepụ ya ọ nọrọ ka nọrọ”,"Lagos, Nigeria",#MUNEVE,06:44.8,Canada,-34.9275,138.6
1.44E+18,02/10/2021 13:08,MUNEVE,en,215,Twitter for iPhone,http://twitter.com/download/iphone,"RT @premierleague: Hold the pose 🕺

#MUNEVE // @andros_townsend https://t.co/GdrZ5iFUVl",18/06/2020 02:21,OTDmusic_Gh,841,"Young music producer #OTDmusic.. full sarknative, Barcelona fan and NETs fan…. Kelvin Durant is the GOAT 🐐",,#MUNEVE,06:44.8,Canada,-37.8142,144.9631
1.44E+18,02/10/2021 13:08,MUNEVE,en,215,Twitter for Android,http://twitter.com/download/android,"RT @premierleague: Hold the pose 🕺

#MUNEVE // @andros_townsend https://t.co/GdrZ5iFUVl",10/09/2021 18:34,Dotun the Nigerian🇳🇬,138,Goalkeeper | Sports Personality | God-fearing | Geologist | Cinematographer | Cool and Calm | Chelsea Fan💙,Somewhere on Planet Earth,#MUNEVE,06:44.8,Canada,-32.6125,149.5872
1.44E+18,02/10/2021 13:08,,en,0,Twitter Web App,https://mobile.twitter.com,Another poor performance by @ManUtd playing 4231 this is getting a joke. They got great players but such a crap wea… https://t.co/0DXLNrRbRk,20/01/2021 00:30,Peter Sonn,1,,,#MUNEVE,06:44.8,Canada,-38.25,144.5167
1.44E+18,02/10/2021 13:08,MUNEVE,en,26,Twitter for Android,http://twitter.com/download/android,RT @lg_mcfc: empty seats but wont hear about it as it aint man city 👍🏼 #MUNEVE https://t.co/A3jX0jdOYX,27/09/2017 15:41,TheManCityBible,526,"New takeover, ctwd","Manchester, England",#MUNEVE,06:44.8,Canada,-42.9769,147.3083
1.44E+18,02/10/2021 13:08,"MUFC, MUNEVE",en,2617,Twitter for Android,http://twitter.com/download/android,"RT @ManUtd: TONNNYYYYY! ⚽️

#MUFC | #MUNEVE",06/10/2020 16:47,Koopcomp 🏴󠁧󠁢󠁥󠁮󠁧󠁿,2001,"The One And Only #KoopKing. Comps, Journalism, Genius. #OleOut",DM for Promo,#MUNEVE,06:44.8,Canada,-35.5331,144.9667
1.44E+18,02/10/2021 13:08,MUNEVE,und,355,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Everton: SIUUU. 🙌

@andros_townsend 💙 #MUNEVE https://t.co/6tyLcqWQ3U",01/10/2018 10:13,Trent Cini,1395,Everton & St George Illawarra. @Everton @NRL_Dragons • Adore my Wife and Kids. 😍 • X-II-MMXVIII •,Australia,#MUNEVE,06:44.8,Canada,-19.25,146.8167
