tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.43E+18,04/09/2021 12:16,SaturdayMorning,en,5,Twitter for Android,http://twitter.com/download/android,"RT @GIOHyderabad: Be sure that Allah is your protector- the best to protect and the best to help.
 Quran 8:40

#SaturdayMorning
#SaturdayMo…",01/09/2021 17:13,Sio Fatehpur,2,Official twitter handle @Sio_fatehpur (U.p) @sio_india,fatehpur (U.p),#SaturdayMorning,15:49.9,United States,40.6943,-73.9249
1.43E+18,04/09/2021 12:16,"Caturday, SaturdayMorning",en,1,UnitedSpaceCats,https://scobiform.com,"RT @calliechatter: New day in this crazy world. Stay safe my friends.
#Caturday #SaturdayMorning https://t.co/xmATuQVujh",29/06/2008 18:03,United Space Cats 😻,5422,"Together we are 🐾 #pawsome
#StayPawsitive #BlackCatsMatter",Space that Fits,#SaturdayMorning,15:49.9,United States,34.1141,-118.4068
1.43E+18,04/09/2021 12:16,"SaturdayMorning, God",en,37,Twitter for Android,http://twitter.com/download/android,"RT @Ben_Malki: #SaturdayMorning
#God Is Saying To You Today:

You are worrying too much.!
I know that you have a lot on your mind. Lay all…",01/03/2018 15:39,Tiffany kroswek,171,"Dental assistant, wife,  at home mom at the moment :)","Michigan, USA",#SaturdayMorning,15:49.9,United States,41.8375,-87.6866
1.43E+18,04/09/2021 12:16,"Caturday, SaturdayMorning",en,1,Twitter for Android,http://twitter.com/download/android,"New day in this crazy world. Stay safe my friends.
#Caturday #SaturdayMorning https://t.co/xmATuQVujh",08/03/2017 17:17,Callie,1292,,"Kokomo, Indiana",#SaturdayMorning,15:49.9,United States,25.784,-80.2101
1.43E+18,04/09/2021 12:16,dogsoftwitter,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Duke being adorable. Putting some doggo cuteness out into the Twittersphere bc we all need it. #dogsoftwitter… https://t.co/ACPtj65wtu,10/03/2008 20:39,tkrumbine,168,"Versatile ref librarian with over 15 yrs experience in firm, academic and public libraries. Research goddess most days. Proud mom of two lab retrievers.","Charlotte, NC",#SaturdayMorning,15:49.9,United States,32.7935,-96.7667
1.43E+18,04/09/2021 12:16,Sales,en,3,wwwanpaus-twitter-bot,http://wwwanpaus-dm-twitter-bot.herokuapp.com/,"RT @Bompi_Tortilli: Red Polyester Silk🇬🇧

🟢 Share, someone might be looking for this -

🔵 A Mask that Works for Glasses Wearers 

#Sales #C…",16/10/2014 14:21,ANPAUS | The Dinosaur Hunter | Streamer | YouTuber,16994,❤️ https://t.co/BQa5Kzwnef ❤️ https://t.co/0rUrU1BLAa ❤️ luv y'all ❤️,"Los Angeles, CA",#SaturdayMorning,15:49.9,United States,29.786,-95.3885
1.43E+18,04/09/2021 12:16,"January6thInsurrection, SeditionHasConsequences, fvckers, SaturdayMorning, BreakingNews",und,0,Twitter Web App,https://mobile.twitter.com,"#January6thInsurrection #SeditionHasConsequences #fvckers 

#SaturdayMorning #BreakingNews https://t.co/2rkCf5ko86",06/11/2016 14:48,Democracy_420,1148,"“You have brains in your head. 
You have feet in your shoes. 
You can steer yourself any direction you choose🧠❤️...”  ― Dr. Seuss, Oh, The Places You'll Go!","Boston, MA",#SaturdayMorning,15:49.9,United States,40.0077,-75.1339
1.43E+18,04/09/2021 12:15,,en,12,Twitter for iPad,http://twitter.com/#!/download/ipad,RT @angeladunn6: I’ve just heard my 5yr old bickering with his siblings and shout “Well you’re BORIS JOHNSON!” as an insult to one of them.…,24/04/2012 10:08,Bernard Walsh,221,Retired. Owner of yellow jeans. Fond of a drop or two. But not too much.,Farndon,#SaturdayMorning,15:49.9,United States,33.7628,-84.422
1.43E+18,04/09/2021 12:15,,en,0,Twitter for iPhone,http://twitter.com/download/iphone,Me: I am cold                                 Partner: Why don’t you wear your bathrobe?… https://t.co/DHuk0Fq1m3,16/09/2013 20:31,Sophie,618,"Musées, culture, art, sciences, recyclage...et chats! Museums, culture, art, science, green stuff...and cats. #Neurodivergent",Somewhere on this blue planet,#SaturdayMorning,15:49.9,United States,38.9047,-77.0163
1.43E+18,04/09/2021 12:15,Sales,en,3,Retweet Picker,https://retweetpicker.com,"RT @Bompi_Tortilli: Red Polyester Silk🇬🇧

🟢 Share, someone might be looking for this -

🔵 A Mask that Works for Glasses Wearers 

#Sales #C…",06/01/2018 08:30,Streamer Wall,33908,"Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",Worldwide,#SaturdayMorning,15:49.9,United States,42.3188,-71.0852
