id,tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
601,1.42E+18,07/08/2021 12:16,"TeamIndia, Proud, Olympics",en,844,Twitter for Android,http://twitter.com/download/android,RT @WasimJaffer14: There are decades where nothing happens; and there are weeks where decades happen. #TeamIndia #Proud #Olympics #NeerajCh…,Brown Bunny 🐇,86,"Homo Sapiens🙋‍♂️,
Messi 🇦🇷,
Cricket 🇮🇳,
Weeknd 🎶",Calcutta,#NeerajChopra,16:10.1,Australia,-38.15,144.35
602,1.42E+18,07/08/2021 12:16,AFLSaintsSwans,en,0,Twitter for iPhone,http://twitter.com/download/iphone,"Mister Higgins

❤️🤍🖤

 #AFLSaintsSwans",Bruce Eva,2627,"@3AW693, @3AWisfootball, boxing & cricket commentator. Journalist, author & MC. Saints tragic (St Kilda ❤️🤍🖤, New Orleans ⚜️⚜️⚜️, Southampton ❤️🤍).","Melbourne, Australia",#AFLSaintsSwans,16:10.1,Australia,-31.9559,115.8606
603,1.43E+18,21/08/2021 12:10,,en,1,Twitter for iPhone,http://twitter.com/download/iphone,"RT @PhidMcAwesome: The irony in attacking me for being against protests that will keep us in lockdown for longer by calling me a Nazi, then…",BruiserM,43,"Audio Visual Support, Broadcast Studio Management, Chat Mod. Business Mentor/Advisor he/him",Australia,#COVIDIOTS,15:49.4,Australia,-38.15,145.9333
604,1.43E+18,14/08/2021 12:15,"FPL, MUNLEE",en,532,Twitter Web App,https://mobile.twitter.com,"RT @OfficialFPL: Goal - FERNANDES
Assist - POGBA

Man Utd 1-0 Leeds (30 mins)

#FPL #MUNLEE",Bruno,1,,,#MUNLEE,15:39.6,Australia,-33.7483,150.6678
605,1.42E+18,07/08/2021 11:49,"afl, weflyasone",en,0,Twitter for Android,http://twitter.com/download/android,Poor hamill can't catch a break 💔#afl #weflyasone,Bruno Ienco,296,"#newyorkforever #weflyasone #knicks
co host of the @nothingbutsom11 podcast
https://t.co/JYqjz9ns0J","South Australia, Australia",#weflyasone,16:10.1,Australia,-36.75,144.2667
606,1.42E+18,07/08/2021 11:40,weflyasone,en,0,Twitter for Android,http://twitter.com/download/android,Cook can play #weflyasone,Bruno Ienco,296,"#newyorkforever #weflyasone #knicks
co host of the @nothingbutsom11 podcast
https://t.co/JYqjz9ns0J","South Australia, Australia",#weflyasone,16:10.1,Australia,-38.3833,142.4833
607,1.43E+18,14/08/2021 11:49,"NRLManlyEels, NRL",en,0,Twitter for iPhone,http://twitter.com/download/iphone,"“Premiership window” 
#NRLManlyEels #NRL https://t.co/3OO5rprwdb",Buddy Watson,437,| @RadioWatson_ | Movies | Music | Video Games | Wrestling (AEW/NJPW) | Podcasting | NRL | F1 | Sport | My Dogs Jericho/Kenny 💜 | New DND Fan,"Brisbane, Queensland",#NRLManlyEels,15:39.6,Australia,-32.715,151.5317
608,1.43E+18,21/08/2021 12:10,,en,0,Twitter Web App,https://mobile.twitter.com,@JonesHowdareyou Such a shame a few thousand anti-maskers got pepper sprayed. If only there was an item of clothing… https://t.co/cTVI9czn8c,Bugs Bunny Esq.,630,"Cancer survivor, City Hospital, Notts 2008. 'Leftie' with history of voting Tory. Blocked by folks that think Cancel culture is Leftie Woke, Royal Biographer","Lincs, UK",#COVIDIOTS,15:49.4,Australia,-32.8342,151.3555
609,1.43E+18,21/08/2021 12:15,"LIVBUR, FPL",en,166,Twitter for Android,http://twitter.com/download/android,"RT @OfficialFPL: Please tell us you all started him, Tsimikas owners 🙏

#LIVBUR #FPL",Bugulski Jr,144,A veteran,,#LIVBUR,15:49.4,Australia,-33.7483,150.6678
610,1.43E+18,21/08/2021 12:15,,en,177,Twitter for Android,http://twitter.com/download/android,"RT @premierleague: GOAL Liverpool 1-0 Burnley (18 mins)

Konstantinos Tsimikas whips in a teasing cross which Diogo Jota nods into the far…",Bugulski Jr,144,A veteran,,#LIVBUR,15:49.4,Australia,-27.5667,151.95
