country,topic,total june,identified june,percentage june,tweets found june,total july,identified july,percentage july,tweets found july,total august,identified august,percentage august,tweets found august,total september,identified september,percentage september,tweets found september,total october,identified october,percentage october,tweets found october
Australia,August 9 - Victoria to enter 6th lockdown,4000,293,7.325,,4492,39,0.868210151,,3799,120,3.158725981,,3392,24,0.70754717,,481,12,2.494802495,
Australia,"26 June – Greater Sydney, Wollongong, Blue Mountains and the Central Coast are placed into lockdown as the Delta variant of COVID-19 spreads.",4000,818,20.45,,4492,193,4.296527159,,3799,497,13.0823901,,3392,176,5.188679245,,481,60,12.47401247,
Australia,"11 July – Australia records its first death from the COVID-19 pandemic for 2021,as Sydney records 77 cases of community transmission.",4000,842,21.05,,4492,195,4.341050757,,3799,493,12.97709924,,3392,145,4.274764151,,481,66,13.72141372,
Australia,16 July – Melbourne enters snap lockdown with 18 cases of COVID-19.,4000,825,20.625,,4492,195,4.341050757,,3799,704,18.53119242,,3392,112,3.301886792,,481,54,11.22661123,
Australia,"21 August – New South Wales records the highest daily COVID-19 case numbers in Australia thus far, recording 825 new cases of COVID-19.",4000,963,24.075,,4492,305,6.78984862,,3799,730,19.21558305,,3392,309,9.109669811,,481,62,12.88981289,
Australia,"25 August – New South Wales records 1,029 new cases of COVID-19 in 24 hours becoming the first state in Australia to surpass the 1,000 daily case milestone",4000,960,24,,4492,272,6.055209261,,3799,665,17.50460648,,3392,297,8.755896226,,481,53,11.01871102,
United States,June 1 - SARS-CoV-2 Delta variant becomes the dominant strain of COVID-19 in the United States,,,,,,,,,,,,,,,,,,,,
United States,June 1 - COVID-19 vaccines – Moderna seeks full approval from the FDA for the Moderna COVID-19 vaccine,,,,,,,,,,,,,,,,,,,,
United States,June 5 – Aftermath of the January 6 United States Capitol attack – The Department of Justice says that over 465 people have been arrested since the January 6 attack. It is also seeking information on 250 other suspects.,,,,,,,,,,,,,,,,,,,,
United States,"July 20 - Tom Barrack, founder of Colony Capital and an advisor of Donald Trump, is indicted for making false statements to the FBI and being an unregistered agent for the United Arab Emirates.",,,,,,,,,,,,,,,,,,,,
United States,August 2 - COVID-19 vaccination: Over 70% of adults are reported to have received at least one dose of a COVID-19 vaccine.,,,,,,,,,,,,,,,,,,,,
United States,August 10 - New York Governor Andrew Cuomo announces he will resign effective August 24 after an inquiry found he sexually harassed multiple women.,,,,,,,,,,,,,,,,,,,,
United States,"August 29 - Hurricane Ida makes landfall at 11:55am CDT near Port Fourchon, Louisiana, on the 16th anniversary of Hurricane Katrina.",,,,,,,,,,,,,,,,,,,,
Canada,"June 21 – The Government of Canada announces the first phase to easing the COVID-19 border measures for travellers, thus lifting quarantine requirements for fully immunised travellers starting on July 5",,,,,,,,,,,,,,,,,,,,
Canada,June 30 - Dozens of people have died amid an unprecedented heatwave that has smashed temperature records.,,,,,,,,,,,,,,,,,,,,
Canada,July 20 – British Columbia declares a state of emergency in response to the 2021 British Columbia wildfires.,,,,,,,,,,,,,,,,,,,,
Canada,August 2 -  SARS-CoV-2 Delta variant becomes the pre-dominant strain of COVID-19 in Canada.,,,,,,,,,,,,,,,,,,,,
