jan_dates,feb_dates,mar_dates,apr_dates,may_dates,june_dates,july_dates
[],"[22, 13, 13]",[25],"[16, 19, 26, 10, 28, 28, 28, 26]","[20, 27, 24]","[2, 20, 14]",[]
"[17, 23, 13, 5, 8]","[7, 13, 13]",[25],"[16, 19, 26, 10, 28, 28, 28, 26]","[20, 27, 24]","[2, 14]",[]
"[17, 23, 13, 8]","[13, 13]",[25],"[5, 19, 26, 10, 28, 28, 28, 26]","[20, 25, 27, 7, 24, 7]","[1, 14]",[]
"[17, 23, 13, 5, 8]","[13, 13]",[25],"[19, 26, 10, 28, 28, 26]","[27, 24]",[14],[]
"[22, 5, 22, 4, 17, 24, 30, 30, 23, 13, 5, 8, 17]","[3, 5, 4, 13, 13]","[11, 7, 19, 18, 14, 21, 8, 10, 25, 29]","[16, 28, 27, 6, 20, 13, 29, 29, 28, 3, 5, 19, 26, 10, 28, 28, 28, 26, 4, 29, 20, 29, 19, 29, 29, 29, 29, 30, 16, 16, 16, 16, 4, 16, 16, 16, 16, 16, 16, 16, 16, 28, 16, 28, 26, 18, 26, 24, 20, 20, 3, 1, 3, 20, 11, 21, 11, 16, 18, 27, 9, 24, 29, 30, 30, 26, 6, 20, 13, 29, 13, 13, 13, 19, 29, 21, 29, 28, 21, 3, 9, 30, 30, 17, 22, 16, 9, 22, 10, 8, 5, 11, 19, 30, 30, 30, 30, 30, 19, 12, 9, 26, 10, 28, 28, 28, 26, 25, 4, 4, 28, 4, 4, 30, 28, 3]","[25, 13, 20, 27, 25, 25, 30, 27, 30, 17, 2, 2, 30, 2, 29, 2, 3, 2, 2, 2, 2, 3, 7, 24, 7, 18, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 25, 13, 12, 18, 27, 5, 25, 25, 25, 25, 20, 25, 25, 25, 25, 25, 25, 7, 25, 25, 25, 25]","[1, 1, 1, 1, 9, 2, 20, 26, 14, 8, 1, 1, 20, 26]",[]
"[23, 13, 8]","[7, 5, 13, 13]",[25],"[19, 10, 28, 28]","[30, 12, 20, 27, 13, 24]","[2, 14]",[]
"[22, 4, 23, 13, 8]","[3, 7, 4, 13, 13]","[7, 22, 19, 13, 10, 25, 29]","[16, 29, 26, 20, 13, 29, 13, 13, 13, 19, 29, 29, 16, 9, 10, 5, 19, 26, 10, 28, 28, 28, 26, 4, 29, 20, 29, 19, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 30, 16, 16, 16, 16, 4, 16, 16, 16, 16, 16, 16, 16, 16, 28, 16, 28, 26, 18, 26, 24, 20, 20, 3, 1, 3, 20, 11, 21, 11, 16, 18, 27, 9, 24, 29, 30, 30, 26, 6, 20, 13, 29, 13, 13, 13, 19, 29, 21, 29, 28, 21, 3, 9, 30, 30, 17, 22, 16, 9, 22, 10, 8, 5, 11, 19, 30, 30, 30, 30, 30, 19, 12, 9, 26, 10, 28, 28, 28, 26, 25, 4, 4, 28, 4, 4, 30, 16, 9]","[5, 24, 27, 17, 13, 7, 24, 7, 24, 24, 17]","[9, 2, 20, 26, 14, 8, 20, 26]",[]
"[13, 8]",[7],[25],[10],[20],[2],[]
"[30, 13, 5, 8]","[13, 13]",[25],"[5, 19, 26, 10, 28, 28, 26]","[20, 30, 27, 30, 24, 7]","[1, 2, 20, 14, 8]",[]
"[23, 13, 8]",[7],[25],"[19, 26, 10, 28, 28, 28, 26]","[30, 12, 20, 27, 13, 7]","[2, 14]",[]
