jan_dates,feb_dates,mar_dates,apr_dates,may_dates,june_dates,july_dates
"[17, 17, 30, 30, 17, 17, 28, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 6, 10, 24]","[15, 9, 14]",[],[29],"[29, 22, 26]",[],[]
"[30, 21]","[22, 23, 15, 26, 2, 2, 3, 3, 2, 2, 5, 4, 12, 3, 8, 4, 4, 3, 3, 3, 3, 3, 1, 1, 12, 2, 21, 3, 2, 3, 3, 2, 5, 12, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 3, 1, 3, 5, 2, 4, 2, 2, 3, 2, 3, 2, 5, 3, 2, 3, 3, 4, 3, 3, 3, 3, 1, 1, 3, 5, 2, 2, 2, 7, 26, 22, 22, 22, 21, 21, 21, 3, 2, 5, 3, 3, 3, 4, 3, 3, 2]","[3, 24, 30, 1]","[28, 19, 19, 28, 22, 10, 27, 4, 4, 4, 14, 4, 4, 7]","[11, 2, 2, 11, 2, 2, 3, 11, 29, 10, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 11, 11, 11, 30, 11, 29, 6, 6, 1, 29, 8, 8, 6, 23, 2]","[10, 24, 1]","[2, 3, 2]"
[],[3],[14],"[29, 7]",[22],[],[]
"[30, 30]",[3],[14],[26],"[31, 22, 23]",[5],[]
"[30, 30, 21, 23, 23]","[22, 2, 3, 2, 2, 5, 4, 12, 3, 8, 4, 4, 3, 3, 3, 3, 1, 1, 12, 21, 3, 2, 3, 3, 2, 5, 12, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 3, 1, 3, 5, 2, 4, 2, 2, 3, 2, 3, 2, 5, 3, 2, 3, 3, 4, 3, 3, 3, 3, 1, 1, 3, 5, 2, 2, 2, 3, 2, 5, 3, 3, 3, 4, 3, 3, 2]",[1],"[28, 22]","[11, 2, 11, 2, 2, 11, 29, 11, 11, 11, 30, 11, 29, 6, 6, 1, 29, 8, 8, 6, 23, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2]","[24, 6]","[2, 2]"
"[17, 17, 30, 17, 15, 23, 23]","[15, 5, 26]",[],"[29, 19, 19, 7, 28]","[11, 11, 11, 2, 2, 2, 6, 2, 2, 2, 26, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2]","[10, 29, 2, 29, 2, 19, 29, 2]",[]
"[17, 17, 30, 17]",[],[],[28],[26],[],[]
[],[],[],[],[],[],[]
[17],[],[],[],[],[],[]
[],[],[],[],[],[],[]
