jan_dates,feb_dates,mar_dates,apr_dates,may_dates,june_dates,july_dates
"[24, 9, 19, 20, 19, 20, 13, 21, 4, 25, 9, 17, 17, 7, 11, 4, 4, 11, 21, 26, 4, 4, 26, 26, 26, 4, 4, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11, 19, 19, 13, 21, 6, 13, 4, 4, 4, 4, 15]","[9, 18, 22, 22, 15, 15, 8, 18, 9, 15, 22, 15, 6]","[6, 6, 6, 4, 4, 30, 1, 11, 11, 1, 11, 21, 8, 17, 6, 6, 6, 6, 24, 4, 4]","[11, 13, 7, 29, 11, 9, 17, 13]","[8, 21, 24, 26, 8, 8, 29]","[21, 16, 25, 1, 3, 19, 18, 27, 21]","[23, 13]"
"[24, 9, 16, 20, 20, 4, 25, 9, 7, 4, 26, 26]","[18, 2, 22, 15, 15, 5, 18, 15, 22, 15, 6]","[6, 6, 6, 6, 4, 1, 11, 17, 6, 6, 6, 6, 24]","[11, 13, 8, 8, 8, 8, 8, 10, 23, 8, 10, 29, 8, 8, 8, 8, 8, 10, 23, 8, 6, 10]","[18, 24, 21, 17]","[19, 16, 16, 25, 1, 9, 9, 19, 18, 27, 9, 9, 9, 9, 6, 9, 9]","[2, 23, 13]"
"[9, 20, 20, 7, 26]","[18, 8, 22, 15, 15, 8, 5, 18, 15, 22, 15, 6]","[15, 1, 19, 11, 8, 8, 17, 26]","[11, 8, 8, 16, 16, 24, 8, 8, 8, 10, 23, 8, 10, 29, 8, 8, 8, 8, 8, 10, 23, 8, 6, 10]","[18, 8, 12, 16, 16, 27, 21, 26, 16, 16]","[19, 3, 19, 18, 27]","[24, 24, 2, 24, 24, 24, 24, 24, 24]"
"[24, 24, 9, 19, 20, 19, 30, 20, 4, 25, 9, 15, 17, 17, 7, 11, 6, 4, 4, 13, 11, 26, 4, 4, 26, 26, 15, 26, 4, 4, 4, 4, 15, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11, 6, 13, 4, 4]","[18, 22, 22, 15, 15, 22, 3, 18, 15, 22, 15, 6]","[22, 16, 25, 6, 4, 4, 30, 7, 1, 11, 11, 1, 11, 21, 8, 17, 25, 17, 4, 4]","[15, 11, 29, 2, 7, 7, 11, 9, 17, 8, 8, 21, 13, 24, 8, 8]","[8, 16, 21, 26, 29]","[16, 10, 9, 1, 3, 18, 27]","[20, 24, 9, 24, 7, 2, 23, 13, 24, 24, 24, 24, 24, 24]"
"[24, 13, 21, 25, 9, 7, 26, 26, 19, 19, 13, 21, 6, 13]","[18, 15]","[11, 17]",[],[],"[16, 25, 1]","[3, 23, 13]"
"[24, 9, 16, 19, 20, 19, 20, 4, 25, 9, 15, 17, 17, 7, 4, 4, 11, 21, 26, 4, 4, 26, 26, 16, 19, 19, 26, 4, 4, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11, 4, 4, 4, 4, 15]","[18, 28, 8, 10, 2, 22, 22, 15, 15, 8, 22, 28, 18, 28, 8, 15, 22, 15, 6]","[22, 15, 6, 4, 4, 1, 12, 11, 11, 21, 13, 17, 4, 4]","[15, 11, 29, 30, 8, 8, 13, 24, 8, 8]","[8, 21, 24, 26, 29]","[19, 25, 1, 3, 9, 9, 9, 18, 27, 9, 9, 9, 9, 6, 9, 9]","[3, 24, 9, 24, 25, 23, 13, 24, 24, 24, 24, 24, 24]"
"[24, 19, 20, 19, 20, 4, 25, 9, 15, 17, 17, 7, 11, 4, 4, 11, 19, 21, 26, 4, 26, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11, 26, 4, 4]","[18, 10, 2, 22, 22, 15, 15, 3, 3, 28, 28, 18, 15, 22, 15, 6]","[8, 15, 6, 4, 4, 1, 12, 26, 11, 11, 1, 11, 21, 8, 8, 8, 17, 8, 8, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 26, 8, 8, 13, 8, 8, 4, 4]","[15, 11, 13, 25, 29, 9, 17, 16, 13]","[25, 25, 18, 8, 16, 21, 14, 24, 14, 26, 14, 23, 17, 29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 15, 25, 25, 25, 25, 14, 25, 27, 25, 25, 25, 25, 25, 25]","[16, 25, 1, 3, 9, 19, 19, 18, 27]","[24, 24, 12, 2, 14, 14, 3, 23, 24, 24, 24, 24, 24, 24]"
"[24, 24, 19, 20, 19, 20, 4, 25, 4, 26, 26, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11]","[18, 8, 15, 22, 15, 15, 8, 5, 18, 15, 22, 15, 6]","[6, 4, 4, 1, 19, 11, 1, 8, 8, 17, 4, 4]","[11, 11, 16]","[18, 8, 16, 21, 26, 12, 29]","[19, 1, 3, 3, 19, 19, 19, 19, 18, 27, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[24, 24, 2, 23, 13, 24, 24, 24, 24, 24, 24]"
"[24, 9, 16, 19, 20, 19, 20, 13, 21, 4, 25, 9, 7, 11, 4, 4, 11, 19, 17, 21, 21, 26, 4, 4, 26, 26, 22, 16, 19, 19, 26, 4, 4, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 24, 24, 7, 1, 5, 13, 16, 19, 19, 17, 13, 21, 7, 9, 1, 28, 23, 14, 8, 19, 26, 19, 30, 6, 4, 13, 5, 19, 19, 17, 21, 3, 17, 21, 21, 8, 3, 4, 4, 1, 26, 3, 27, 18, 11, 19, 19, 13, 21, 6, 13, 17, 21, 3, 17, 21, 3, 31, 31, 17, 21, 21, 17, 21, 4, 4, 4, 4, 15]","[18, 2, 22, 15, 15, 8, 22, 5, 18, 15, 22, 15, 6, 22, 5]","[22, 16, 6, 6, 4, 4, 30, 7, 1, 19, 11, 11, 1, 11, 21, 8, 26, 8, 12, 17, 26, 4, 4]","[6, 15, 11, 29, 13, 7, 10, 17, 17, 30, 29, 8, 23, 8, 11, 9, 17, 16, 16, 4, 21, 13, 24, 29, 8, 8, 8, 10, 23, 8, 10, 8, 10, 23, 8, 6, 10, 17, 17, 17, 17, 8, 8, 8, 8]","[25, 25, 8, 16, 21, 24, 14, 26, 8, 8, 23, 17, 4, 2, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 15, 25, 25, 25, 25, 14, 25, 27, 25, 25, 25, 25, 25, 25]","[26, 26, 16, 10, 25, 1, 3, 3, 9, 9, 19, 19, 19, 19, 19, 18, 27, 9, 9, 9, 9, 6, 9, 9, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","[24, 9, 24, 13, 12, 2, 13, 24, 24, 24, 24, 24, 24]"
[],[15],"[20, 8]",[],[26],"[3, 27]",[]
