country,topic,,,jan_percent,,,feb_percent,,,mar_percent,,,apr_percent,,,may_percent,,,june_percent,,,july_percent,jan_hash,feb_hash,mar_hash,apr_hash,may_hash,june_hash,jan_dates,feb_dates,mar_dates,apr_dates,may_dates,june_dates,july_dates
Canada,"Fresh Lockdowns Create Pothole on Canada’s Road to Jobs Recovery06 May 2021, 7:03 PM IST",0,79,0,3,72,4.166666667,1,63,1.587301587,8,92,8.695652174,3,95,3.157894737,3,66,4.545454545,0,14,0,0,0,0,0,0,0,[],"[22, 13, 13]",[25],"[16, 19, 26, 10, 28, 28, 28, 26]","[20, 27, 24]","[2, 20, 14]",[]
Canada,"Canada’s Vaccine Push Plagued by Confusion, Erratic Supply06 May 2021, 2:15 AM IST",5,79,6.329113924,3,72,4.166666667,1,63,1.587301587,8,92,8.695652174,3,95,3.157894737,2,66,3.03030303,0,14,0,0,0,0,0,0,0,"[17, 23, 13, 5, 8]","[7, 13, 13]",[25],"[16, 19, 26, 10, 28, 28, 28, 26]","[20, 27, 24]","[2, 14]",[]
Canada,"Suncor Sees Vaccines as Solution to Canada’s Lagging Oil Demand05 May 2021, 2:55 AM IST",4,79,5.063291139,2,72,2.777777778,1,63,1.587301587,8,92,8.695652174,6,95,6.315789474,2,66,3.03030303,0,14,0,0,0,0,0,0,0,"[17, 23, 13, 8]","[13, 13]",[25],"[5, 19, 26, 10, 28, 28, 28, 26]","[20, 25, 27, 7, 24, 7]","[1, 14]",[]
Canada,"Moderna Booster Effective; Canada May Mix Shots: Virus Update05 May 2021, 4:27 AM IST",5,79,6.329113924,2,72,2.777777778,1,63,1.587301587,6,92,6.52173913,2,95,2.105263158,1,66,1.515151515,0,14,0,0,0,0,0,0,0,"[17, 23, 13, 5, 8]","[13, 13]",[25],"[19, 26, 10, 28, 28, 26]","[27, 24]",[14],[]
Canada,"Covid Outbreak Grips Canada Oil Sands Just as Roughnecks Fly In28 Apr 2021, 3:30 PM IST",13,79,16.4556962,5,72,6.944444444,10,63,15.87301587,116,92,126.0869565,138,95,145.2631579,14,66,21.21212121,0,14,0,0,0,0,97,4,0,"[22, 5, 22, 4, 17, 24, 30, 30, 23, 13, 5, 8, 17]","[3, 5, 4, 13, 13]","[11, 7, 19, 18, 14, 21, 8, 10, 25, 29]","[16, 28, 27, 6, 20, 13, 29, 29, 28, 3, 5, 19, 26, 10, 28, 28, 28, 26, 4, 29, 20, 29, 19, 29, 29, 29, 29, 30, 16, 16, 16, 16, 4, 16, 16, 16, 16, 16, 16, 16, 16, 28, 16, 28, 26, 18, 26, 24, 20, 20, 3, 1, 3, 20, 11, 21, 11, 16, 18, 27, 9, 24, 29, 30, 30, 26, 6, 20, 13, 29, 13, 13, 13, 19, 29, 21, 29, 28, 21, 3, 9, 30, 30, 17, 22, 16, 9, 22, 10, 8, 5, 11, 19, 30, 30, 30, 30, 30, 19, 12, 9, 26, 10, 28, 28, 28, 26, 25, 4, 4, 28, 4, 4, 30, 28, 3]","[25, 13, 20, 27, 25, 25, 30, 27, 30, 17, 2, 2, 30, 2, 29, 2, 3, 2, 2, 2, 2, 3, 7, 24, 7, 18, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 25, 13, 12, 18, 27, 5, 25, 25, 25, 25, 20, 25, 25, 25, 25, 25, 25, 7, 25, 25, 25, 25]","[1, 1, 1, 1, 9, 2, 20, 26, 14, 8, 1, 1, 20, 26]",[]
Canada,"Trudeau’s Finance Chief Says Spending Won’t Dent Canada’s Brand29 Apr 2021, 12:48 AM IST",3,79,3.797468354,4,72,5.555555556,1,63,1.587301587,4,92,4.347826087,6,95,6.315789474,2,66,3.03030303,0,14,0,0,0,0,0,0,0,"[23, 13, 8]","[7, 5, 13, 13]",[25],"[19, 10, 28, 28]","[30, 12, 20, 27, 13, 24]","[2, 14]",[]
Canada,"Biden-Powell Duo, Canada’s Reputation, Supply Issues: Eco Day29 Apr 2021, 4:56 PM IST",5,79,6.329113924,5,72,6.944444444,7,63,11.11111111,133,92,144.5652174,11,95,11.57894737,8,66,12.12121212,0,14,0,0,0,0,109,2,0,"[22, 4, 23, 13, 8]","[3, 7, 4, 13, 13]","[7, 22, 19, 13, 10, 25, 29]","[16, 29, 26, 20, 13, 29, 13, 13, 13, 19, 29, 29, 16, 9, 10, 5, 19, 26, 10, 28, 28, 28, 26, 4, 29, 20, 29, 19, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 30, 16, 16, 16, 16, 4, 16, 16, 16, 16, 16, 16, 16, 16, 28, 16, 28, 26, 18, 26, 24, 20, 20, 3, 1, 3, 20, 11, 21, 11, 16, 18, 27, 9, 24, 29, 30, 30, 26, 6, 20, 13, 29, 13, 13, 13, 19, 29, 21, 29, 28, 21, 3, 9, 30, 30, 17, 22, 16, 9, 22, 10, 8, 5, 11, 19, 30, 30, 30, 30, 30, 19, 12, 9, 26, 10, 28, 28, 28, 26, 25, 4, 4, 28, 4, 4, 30, 16, 9]","[5, 24, 27, 17, 13, 7, 24, 7, 24, 24, 17]","[9, 2, 20, 26, 14, 8, 20, 26]",[]
Canada,"Transat Rises as Canada Grants $570 Million in Crisis Loans29 Apr 2021, 4:59 PM IST",2,79,2.53164557,1,72,1.388888889,1,63,1.587301587,1,92,1.086956522,1,95,1.052631579,1,66,1.515151515,0,14,0,0,0,0,0,0,0,"[13, 8]",[7],[25],[10],[20],[2],[]
Canada,"Frustration Builds on World’s Longest Border as Canada Goes Slow on Reopening26 Apr 2021, 6:01 PM IST",4,79,5.063291139,2,72,2.777777778,1,63,1.587301587,7,92,7.608695652,6,95,6.315789474,5,66,7.575757576,0,14,0,0,0,0,0,0,0,"[30, 13, 5, 8]","[13, 13]",[25],"[5, 19, 26, 10, 28, 28, 26]","[20, 30, 27, 30, 24, 7]","[1, 2, 20, 14, 8]",[]
Canada,"Canada Avoids Election With Lawmakers Backing Trudeau Budget27 Apr 2021, 4:53 AM IST",3,79,3.797468354,1,72,1.388888889,1,63,1.587301587,7,92,7.608695652,6,95,6.315789474,2,66,3.03030303,0,14,0,0,0,0,0,0,0,"[23, 13, 8]",[7],[25],"[19, 26, 10, 28, 28, 28, 26]","[30, 12, 20, 27, 13, 7]","[2, 14]",[]
