country,topic,total march,identified march,percentage march,total april,identified april,percentage april,total may,identified may,percentage may,total june,identified june,percentage june,total july,identified july,percentage july
Australia,"Australia’s Budget to Include A$1.7 Billion for Childcare02 May 2021, 7:31 AM IST",100,73,73,100,1,1,100,4,4,100,0,0,100,1,1
Australia,"Unlikely Trade in Japan Bonds Gets Revived by Australian Funds06 May 2021, 11:37 AM IST",100,18,18,100,3,3,100,4,4,100,2,2,100,2,2
Australia,"KKR-Backed Pepper Money Expands Australia’s Biggest IPO of 202106 May 2021, 11:34 AM IST",100,14,14,100,3,3,100,3,3,100,2,2,100,0,0
Australia,"Australia’s Budget Position to Be 25% Better Off Than December Estimate: Economists06 May 2021, 9:51 AM IST",100,57,57,100,5,5,100,4,4,100,3,3,100,1,1
Australia,"Australia May Not Open Border Until Late 2022, Minister Says07 May 2021, 5:25 AM IST",100,63,63,100,0,0,100,5,5,100,1,1,100,0,0
Australia,"Australia to Resume Repatriation Flights From India on May 1507 May 2021, 5:13 AM IST",100,8,8,100,0,0,100,2,2,100,0,0,100,0,0
Australia,"China Halts Australia Economic Dialogue in New Retaliation06 May 2021, 8:25 AM IST",100,36,36,100,0,0,100,6,6,100,1,1,100,0,0
Australia,"Australia’s Battered Morrison Bets on Budget to Repair Image07 May 2021, 12:30 AM IST",100,48,48,100,4,4,100,4,4,100,3,3,100,1,1
Australia,"ANZ CEO Not Ruling Out Purchase of Citi Australia Retail Assets05 May 2021, 5:42 AM IST",100,13,13,100,0,0,100,5,5,100,2,2,100,0,0
Australia,"Sanjeev Gupta’s Australian Operations Signs New Funding to Keep Running05 May 2021, 12:01 PM IST",100,31,31,100,4,4,100,6,6,100,1,1,100,0,0
Australia,"National Australia Bank Profit Surges on Economic Recovery06 May 2021, 3:37 AM IST",100,3,3,100,2,2,100,0,0,100,0,0,100,0,0
Australia,"IPOs Boom at the Fastest Pace Since 2007 in Australia04 May 2021, 11:34 AM IST",100,21,21,100,3,3,100,3,3,100,2,2,100,0,0
Australia,"Australia Central Bank Lifts Outlook, to Review YCC in July04 May 2021, 10:08 AM IST",100,24,24,100,1,1,100,2,2,100,0,0,100,0,0
Australia,"Australia Net Exports to Drag on First Quarter GDP, Capital Says04 May 2021, 8:03 AM IST",100,12,12,100,1,1,100,2,2,100,0,0,100,0,0
Australia,"Australia Budget Deficit to Narrow Sharply, Westpac’s Evans Says04 May 2021, 12:37 PM IST",100,65,65,100,2,2,100,4,4,100,1,1,100,0,0
Australia,"ANZ Bank Profit Rises as Australia’s Economic Rebound Builds05 May 2021, 3:33 AM IST",100,24,24,100,6,6,100,3,3,100,7,7,100,0,0
Australia,"Australia Probe of China Port Signals Trouble for Beijing04 May 2021, 6:11 AM IST",100,17,17,100,0,0,100,5,5,100,4,4,100,0,0
Australia,"Australia’s Housing Boom Shows Signs of Slowing03 May 2021, 5:30 AM IST",100,25,25,100,1,1,100,5,5,100,1,1,100,0,0
Australia,"Australia Is Reviewing China’s Ownership of a Darwin Port03 May 2021, 5:40 AM IST",100,18,18,100,2,2,100,3,3,100,0,0,100,0,0
Australia,"Australia Defends Ban on Citizens Returning From Virus-Hit India03 May 2021, 8:16 AM IST",100,56,56,100,0,0,100,8,8,100,0,0,100,0,0
Australia,"Bitcoin Miner Iris Is Said to Weigh Australia’s First SPAC Deal04 May 2021, 12:30 AM IST",100,30,30,100,3,3,100,4,4,100,2,2,100,1,1
Australia,"Morrison’s Liberals Claim Victory in Australian State Election02 May 2021, 10:42 AM IST",100,57,57,100,39,39,100,15,15,100,20,20,100,0,0
Australia,"Australia Budget Deficit to Be A$167 Billion This Year: Deloitte02 May 2021, 7:31 PM IST",100,54,54,100,1,1,100,2,2,100,1,1,100,1,1
