country,topic,total march,identified march,percentage march,total april,identified april,percentage april,total may,identified may,percentage may,total june,identified june,percentage june,total july,identified july,percentage july
Canada,"Fresh Lockdowns Create Pothole on Canada’s Road to Jobs Recovery06 May 2021, 7:03 PM IST",100,6,6,100,0,0,100,5,5,100,1,1,100,0,0
Canada,"Canada Approves Pfizer Covid Shot for Adolescents05 May 2021, 8:42 PM IST",100,8,8,100,1,1,100,14,14,100,0,0,100,0,0
Canada,"Canada’s Vaccine Push Plagued by Confusion, Erratic Supply06 May 2021, 2:15 AM IST",100,3,3,100,1,1,100,4,4,100,0,0,100,0,0
Canada,"Suncor Sees Vaccines as Solution to Canada’s Lagging Oil Demand05 May 2021, 2:55 AM IST",100,11,11,100,0,0,100,3,3,100,0,0,100,0,0
Canada,"Moderna Booster Effective; Canada May Mix Shots: Virus Update05 May 2021, 4:27 AM IST",100,5,5,100,1,1,100,2,2,100,0,0,100,0,0
Canada,"Covid Outbreak Grips Canada Oil Sands Just as Roughnecks Fly In28 Apr 2021, 3:30 PM IST",100,49,49,100,5,5,100,14,14,100,0,0,100,0,0
Canada,"Trudeau’s Finance Chief Says Spending Won’t Dent Canada’s Brand29 Apr 2021, 12:48 AM IST",100,24,24,100,0,0,100,4,4,100,0,0,100,0,0
Canada,"Biden-Powell Duo, Canada’s Reputation, Supply Issues: Eco Day29 Apr 2021, 4:56 PM IST",100,10,10,100,0,0,100,7,7,100,0,0,100,0,0
Canada,"Transat Rises as Canada Grants $570 Million in Crisis Loans29 Apr 2021, 4:59 PM IST",100,23,23,100,0,0,100,1,1,100,0,0,100,0,0
Canada,"Frustration Builds on World’s Longest Border as Canada Goes Slow on Reopening26 Apr 2021, 6:01 PM IST",100,8,8,100,0,0,100,7,7,100,0,0,100,0,0
Canada,"Canada Avoids Election With Lawmakers Backing Trudeau Budget27 Apr 2021, 4:53 AM IST",100,20,20,100,0,0,100,3,3,100,0,0,100,0,0
Canada,"Hummingbirds Halt Work on Canada’s Biggest Oil Pipeline Project27 Apr 2021, 3:21 AM IST",100,16,16,100,3,3,100,6,6,100,0,0,100,0,0
Canada,"Trudeau Hits Back Against Criticism of Canada as Climate Laggard27 Apr 2021, 6:30 PM IST",100,27,27,100,0,0,100,4,4,100,0,0,100,0,0
Canada,"Macklem Stresses Bank of Canada’s Commitment to 2% Inflation28 Apr 2021, 3:38 AM IST",100,8,8,100,0,0,100,2,2,100,0,0,100,0,0
Canada,"Australia’s Stimulus Debate Gets a Jolt From Canada’s Taper22 Apr 2021, 8:16 AM IST",100,2,2,100,0,0,100,5,5,100,0,0,100,0,0
Canada,"Trudeau Vows to Speed Up Emissions Cuts for Canada, a G7 Laggard22 Apr 2021, 7:48 PM IST",100,39,39,100,0,0,100,8,8,100,0,0,100,0,0
Canada,"Canada Bans Flights From Covid-Hit India, Pakistan for 30 Days23 Apr 2021, 3:21 AM IST",100,2,2,100,0,0,100,6,6,100,0,0,100,0,0
Canada,"Capital Pains, Canada’s Global Warning, Policy Potency: Eco Day23 Apr 2021, 4:42 AM IST",100,25,25,100,0,0,100,4,4,100,0,0,100,0,0
Canada,"Inflation Forces the Bank of Canada’s Hand Ahead of Fed and ECB23 Apr 2021, 1:28 AM IST",100,1,1,100,0,0,100,2,2,100,0,0,100,0,0
Canada,"Bank of Canada’s More Hawkish Tone Is ‘Prudent,’ Vachon Says23 Apr 2021, 11:10 PM IST",100,6,6,100,0,0,100,1,1,100,0,0,100,0,0
Canada,"National Bank CEO Floats Axing Blind Bids to Cool Canada Housing23 Apr 2021, 9:22 PM IST",100,6,6,100,0,0,100,2,2,100,0,0,100,0,0
Canada,"Pharma Sector Check - Will U.S. FDA Follow Canada, U.K. In Recalling Losartan? Motilal Oswal23 Sep 2021, 10:32 AM IST",100,5,5,100,0,0,100,1,1,100,0,0,100,0,0
Canada,"Retail Sales in Canada Rebound After Stalling in Early Summer23 Sep 2021, 6:16 PM IST",100,9,9,100,0,0,100,3,3,100,0,0,100,0,0
Canada,"SNC-Lavalin Drops After Canada Police Lay Fraud, Forgery Charges23 Sep 2021, 8:04 PM IST",100,35,35,100,0,0,100,3,3,100,0,0,100,0,0
Canada,"Real Estate Frenzy to Crest in 2021, Canada’s Housing Agency Says06 May 2021, 10:47 PM IST",100,9,9,100,0,0,100,5,5,100,0,0,100,0,0
Canada,"Amazon Postpones Prime Day Sale in Canada, India Due to Covid-1907 May 2021, 2:19 AM IST",100,13,13,100,5,5,100,11,11,100,2,2,100,0,0
Canada,"Canada’s Boralex Weighs Sale of Stake in French Unit23 Sep 2021, 2:06 PM IST",100,14,14,100,0,0,100,1,1,100,0,0,100,0,0
